"","hpv_1","uptake_mean","uptake_max"
"1",9.8,0.0758530183727037,0.0758530183727037
"2",11.7,0.0727034120734903,0.0727034120734903
"3",11.8,0.0700787401574801,0.0700787401574801
"4",12,0.0677165354330703,0.0677165354330703
"5",12.1,0.0669291338582678,0.0669291338582678
"6",12.2,0.0674540682414699,0.0674540682414699
"7",12.3,0.069028871391076,0.069028871391076
"8",12.4,0.0703412073490817,0.0703412073490817
"9",14.7,0.0703412073490817,0.0703412073490817
"10",15,0.068503937007874,0.068503937007874
"11",15.2,0.0666666666666662,0.0666666666666662
"12",15.6,0.0703412073490817,0.0703412073490817
"13",15.9,0.0698162729658797,0.0698162729658797
"14",16.2,0.0674540682414699,0.0674540682414699
"15",16.5,0.068503937007874,0.068503937007874
"16",17,0.0706036745406821,0.0706036745406821
"17",17.5,0.0666666666666662,0.0666666666666662
"18",20.7,0.0674540682414699,0.0679790026246719
"19",20.9,0.0601049868766401,0.0601049868766401
"20",21.6,0.0700787401574801,0.0700787401574801
"21",23,0.0669291338582678,0.0669291338582678
"22",23.3,0.0698162729658797,0.0698162729658797
"23",23.4,0.0687664041994744,0.0687664041994744
"24",23.7,0.0648293963254597,0.0648293963254597
"25",23.8,0.069028871391076,0.069028871391076
"26",23.9,0.0732283464566924,0.0732283464566924
"27",25,0.0648293963254591,0.0671916010498683
"28",25.3,0.0661417322834642,0.0661417322834642
"29",26.3,0.0724409448818899,0.0724409448818899
"30",27.2,0.0732283464566924,0.0732283464566924
"31",28.1,0.074540682414698,0.074540682414698
"32",29,0.074540682414698,0.074540682414698
"33",29.6,0.0692913385826765,0.0692913385826765
"34",30.9,0.0766404199475062,0.0766404199475062
"35",31.3,0.0800524934383201,0.0800524934383201
"36",31.6,0.0772528433945755,0.0800524934383201
"37",35,0.0742782152230964,0.0742782152230964
"38",35.2,0.0755905511811021,0.0755905511811021
"39",35.6,0.0776902887139103,0.0776902887139103
"40",36.1,0.074015748031496,0.074015748031496
"41",36.5,0.0763779527559058,0.0763779527559058
"42",36.8,0.0766404199475062,0.0766404199475062
"43",37.1,0.0761154855643042,0.0761154855643042
"44",37.5,0.0763779527559058,0.0763779527559058
"45",38,0.0766404199475062,0.0766404199475062
"46",38.4,0.0779527559055119,0.0779527559055119
"47",38.8,0.0737532808398944,0.0737532808398944
"48",39.1,0.0776902887139103,0.0776902887139103
"49",39.6,0.0759842519685033,0.0792650918635164
"50",40.4,0.0758530183727031,0.0792650918635164
"51",40.5,0.0731627296587925,0.0784776902887139
"52",40.6,0.0745406824146981,0.0753280839895017
"53",40.7,0.0788057742782151,0.0832020997375323
"54",40.8,0.0763779527559058,0.0763779527559058
"55",40.9,0.0753280839895013,0.0769028871391078
"56",41,0.0790026246719159,0.0813648293963257
"57",41.1,0.0716535433070862,0.0716535433070862
"58",41.2,0.0776902887139103,0.0821522309711282
"59",41.3,0.0754593175853019,0.0769028871391078
"60",42,0.0808398950131237,0.0808398950131237
"61",42.6,0.0761154855643042,0.0761154855643042
"62",43.7,0.074540682414698,0.074540682414698
"63",44.2,0.0766404199475062,0.0766404199475062
"64",44.8,0.074015748031496,0.074015748031496
"65",46.1,0.0748031496062985,0.0748031496062985
"66",47.5,0.0729658792650919,0.0729658792650919
"67",48.4,0.0766404199475062,0.0766404199475062
"68",51,0.0797900262467185,0.0797900262467185
"69",52,0.0784776902887139,0.0784776902887139
"70",53.3,0.0763779527559058,0.0763779527559058
"71",55.1,0.0776902887139103,0.0776902887139103
"72",56.1,0.0713910761154858,0.0713910761154858
"73",57,0.074015748031496,0.074015748031496
"74",57.8,0.0750656167979001,0.0750656167979001
"75",58.1,0.0862204724409444,0.0881889763779523
"76",58.4,0.0898950131233592,0.0910761154855641
"77",59,0.0880139982502186,0.0926509186351702
"78",59.2,0.0811023622047242,0.0811023622047242
"79",61.3,0.0748031496062985,0.0748031496062985
"80",61.5,0.0776902887139103,0.0776902887139103
"81",61.7,0.0787401574803144,0.0787401574803144
"82",62.6,0.0753280839895017,0.0753280839895017
"83",64.4,0.0868766404199478,0.0868766404199478
"84",64.5,0.0910761154855641,0.0937007874015743
"85",64.6,0.0842519685039364,0.0847769028871384
"86",65,0.0934383202099739,0.0934383202099739
"87",65.4,0.0855643044619421,0.0855643044619421
"88",65.8,0.0897637795275584,0.0897637795275584
"89",66.5,0.0853018372703405,0.0853018372703405
"90",66.9,0.0910761154855641,0.0910761154855641
"91",76.6,0.0913385826771657,0.0913385826771657
"92",77.2,0.0918635170603678,0.0918635170603678
"93",78.1,0.0905511811023621,0.0905511811023621
"94",79.1,0.0853018372703405,0.0853018372703405
"95",79.4,0.113648293963254,0.113648293963254
"96",80.4,0.10939049285506,0.121522309711286
"97",80.6,0.102624671916011,0.10734908136483
"98",80.7,0.0985564304461939,0.105774278215222
"99",81.4,0.124671916010498,0.124671916010498
"100",81.9,0.0905511811023621,0.0905511811023621
"101",82.4,0.12020997375328,0.12020997375328
"102",82.8,0.128083989501312,0.128083989501312
"103",83.2,0.124146981627296,0.124146981627296
"104",86.4,0.123097112860892,0.123097112860892
"105",86.7,0.123097112860892,0.123097112860892
"106",87,0.125721784776902,0.125721784776902
"107",87.3,0.126509186351706,0.126509186351706
"108",87.7,0.121784776902886,0.121784776902886
"109",88,0.121259842519684,0.121259842519684
"110",88.1,0.149475065616797,0.151181102362204
"111",88.2,0.148031496062992,0.148031496062992
"112",88.5,0.155905511811023,0.158530183727034
"113",88.7,0.149081364829396,0.149081364829396
"114",88.8,0.12257217847769,0.12257217847769
"115",89,0.156692913385826,0.156692913385826
"116",91,0.15262467191601,0.158530183727034
"117",91.2,0.151706036745406,0.151706036745406
