"hpv_1","uptake_max","uptake_mean"
9,0.0948484848484847,0.089307359307359
10,0.0945454545454537,0.0877272727272724
11,0.0839393939393936,0.0839393939393936
12,0.0887878787878779,0.0887878787878779
13,0.0884848484848483,0.0859090909090907
14,0.0909090909090905,0.0909090909090905
15,0.091818181818182,0.091818181818182
16,0.0951515151515143,0.0914141414141407
17,0.0999999999999999,0.095252525252525
18,0.10030303030303,0.0999242424242423
19,0.128484848484848,0.118686868686868
20,0.129090909090909,0.120650769995032
21,0.119696969696969,0.113659673659673
24,0.118787878787878,0.118787878787878
25,0.118484848484848,0.118484848484848
26,0.123030303030303,0.123030303030303
28,0.128787878787879,0.128787878787879
29,0.129696969696969,0.128636363636363
30,0.315151515151514,0.262470862470862
31,0.314848484848485,0.199151515151515
32,0.320303030303029,0.183809523809524
33,0.324545454545455,0.324545454545455
34,0.336060606060606,0.327359307359307
35,0.345454545454545,0.342272727272727
36,0.362121212121212,0.354393939393939
38,0.367878787878788,0.364848484848485
39,0.378484848484848,0.377171717171717
40,0.423636363636363,0.410294372294372
41,0.423333333333333,0.412878787878788
42,0.424242424242423,0.423787878787878
43,0.423333333333333,0.421136363636363
44,0.426060606060606,0.42560606060606
46,0.423939393939394,0.423939393939394
47,0.417272727272727,0.417272727272727
48,0.43121212121212,0.428383838383838
49,0.429090909090909,0.428484848484849
50,0.435151515151514,0.427601731601731
51,0.432727272727272,0.428868686868687
52,0.431818181818182,0.431818181818182
53,0.43060606060606,0.430454545454545
54,0.428484848484849,0.425858585858586
55,0.433939393939393,0.432878787878788
56,0.432121212121212,0.432121212121212
57,0.435757575757575,0.434242424242424
59,0.434242424242424,0.433232323232323
60,0.438181818181819,0.432416267942583
61,0.439090909090909,0.435993265993266
62,0.435757575757575,0.435757575757575
63,0.435454545454545,0.431380471380471
66,0.438787878787879,0.437121212121212
67,0.438181818181819,0.435757575757576
68,0.437575757575757,0.433939393939393
69,0.436969696969696,0.436969696969696
70,0.438484848484848,0.434008658008658
71,0.443939393939394,0.437954545454545
72,0.436666666666666,0.436262626262626
73,0.436969696969696,0.43590909090909
74,0.435757575757575,0.434848484848484
77,0.438181818181819,0.438181818181819
78,0.439696969696969,0.436969696969697
79,0.444545454545455,0.439848484848485
80,0.444545454545455,0.436744186046511
81,0.441212121212121,0.438131313131313
82,0.437575757575757,0.437575757575757
83,0.43939393939394,0.435757575757576
84,0.437272727272727,0.436060606060606
85,0.442424242424242,0.441363636363636
86,0.439696969696969,0.438333333333332
88,0.44090909090909,0.440303030303029
89,0.44090909090909,0.437171717171717
90,0.444545454545455,0.438217770929635
91,0.441515151515151,0.441515151515151
92,0.442727272727272,0.440656565656565
93,0.443636363636363,0.43860606060606
94,0.441515151515151,0.441515151515151
95,0.444848484848484,0.439163372859025
