"hpv_1","uptake_max","uptake_mean"
9,0.113768115942029,0.105016453126094
10,0.110869565217392,0.103904991948471
11,0.104347826086957,0.101690821256039
12,0.104589371980676,0.103381642512077
13,0.107004830917875,0.10499194847021
14,0.108937198067634,0.108454106280194
15,0.171497584541064,0.160849436392915
16,0.177536231884059,0.169162640901772
17,0.17536231884058,0.16768115942029
18,0.1756038647343,0.165027605244997
19,0.167874396135266,0.15605136028477
20,0.142512077294687,0.130756843800323
21,0.164251207729469,0.139935587761675
22,0.157487922705314,0.157487922705314
26,0.166666666666667,0.166666666666667
27,0.171739130434783,0.171739130434783
29,0.179468599033817,0.179468599033817
30,0.356038647342996,0.313812974465149
31,0.240579710144928,0.228059581320451
32,0.355072463768116,0.223295759527644
33,0.356521739130436,0.355797101449276
34,0.359661835748792,0.358132045088567
35,0.363768115942029,0.362399355877617
36,0.366908212560387,0.364311594202899
37,0.368599033816426,0.366344605475041
38,0.369806763285025,0.369202898550726
39,0.368840579710145,0.368357487922706
40,0.377777777777778,0.373463499731616
41,0.37584541062802,0.371497584541063
42,0.37632850241546,0.372403381642513
43,0.373188405797102,0.372141706924316
46,0.378985507246377,0.376972624798712
47,0.379951690821257,0.377657004830919
48,0.379710144927537,0.377777777777778
50,0.386231884057971,0.380371520588912
51,0.384541062801933,0.381620553359684
52,0.382608695652174,0.380917874396136
53,0.385024154589373,0.381803542673108
54,0.382850241545894,0.380837359098229
57,0.385990338164252,0.3841384863124
58,0.385990338164252,0.385024154589372
59,0.385990338164252,0.385426731078906
60,0.390096618357489,0.385066780335323
61,0.390579710144928,0.386768652710682
62,0.38719806763285,0.384879227053141
63,0.386231884057971,0.386231884057971
64,0.38768115942029,0.385507246376812
65,0.385990338164252,0.385587761674719
66,0.390821256038648,0.390821256038648
67,0.391062801932368,0.38852657004831
68,0.386714975845411,0.386714975845411
69,0.392028985507247,0.390740740740741
70,0.392995169082126,0.389130434782609
71,0.392753623188406,0.389009661835749
73,0.393236714975845,0.391183574879227
74,0.38816425120773,0.38756038647343
75,0.391062801932368,0.389009661835749
76,0.393478260869566,0.393236714975846
78,0.392028985507247,0.392028985507247
79,0.392753623188406,0.391485507246377
80,0.396618357487923,0.391433172302738
81,0.394685990338165,0.389855072463769
82,0.393236714975845,0.392028985507246
83,0.38840579710145,0.387198067632851
84,0.392028985507247,0.391304347826088
85,0.392995169082126,0.392995169082126
87,0.396859903381643,0.395048309178744
88,0.396859903381643,0.394202898550725
89,0.397342995169082,0.395833333333334
90,0.398309178743961,0.393159075224293
91,0.398067632850242,0.395289855072464
