"hpv_1","uptake_max","uptake_mean"
9,0.0437168141592915,0.0435398230088491
10,0.0463716814159288,0.0416434892541085
11,0.0417699115044249,0.0417699115044249
12,0.0412389380530971,0.0412389380530971
13,0.0446017699115042,0.0446017699115042
16,0.0426548672566368,0.0426548672566368
17,0.0389380530973448,0.0388495575221238
18,0.0396460176991146,0.0395575221238935
19,0.0474336283185836,0.0414361567635902
20,0.0463716814159288,0.0425092777619182
21,0.0435398230088495,0.0410398230088493
22,0.0385840707964599,0.0385840707964599
23,0.0428318584070796,0.0428318584070796
24,0.0387610619469027,0.0387610619469027
26,0.0403539823008844,0.0403539823008844
27,0.0398230088495575,0.0398230088495575
28,0.041592920353982,0.041592920353982
29,0.0417699115044249,0.0417699115044249
30,0.053097345132743,0.0476718856364872
31,0.0490265486725661,0.0472787610619466
32,0.0486725663716812,0.0486725663716812
33,0.0513274336283184,0.0513274336283184
34,0.0499115044247788,0.0474690265486725
35,0.0539823008849557,0.0491327433628316
37,0.0522123893805311,0.0505309734513274
38,0.0507964601769907,0.0501769911504423
39,0.0506194690265486,0.0497345132743362
40,0.0557522123893803,0.0513101661990069
41,0.053097345132743,0.0509970501474924
47,0.053097345132743,0.0529203539823005
48,0.0518584070796454,0.0498525073746309
49,0.0539823008849557,0.0507079646017697
50,0.0548672566371676,0.0506613879832322
51,0.0534513274336279,0.0518584070796457
52,0.0506194690265486,0.0500884955752212
53,0.0481415929203534,0.0481415929203534
54,0.0497345132743359,0.0495575221238935
55,0.0523893805309732,0.0523893805309732
56,0.0516814159292034,0.0516814159292034
57,0.0506194690265486,0.0506194690265486
58,0.0513274336283184,0.0492920353982299
59,0.0532743362831859,0.0522123893805307
60,0.0559292035398231,0.0517082327701795
61,0.0527433628318581,0.0512010113780023
63,0.0534513274336279,0.0525410872313525
64,0.0541592920353978,0.050678466076696
65,0.0536283185840708,0.0485840707964602
66,0.0499115044247788,0.0499115044247788
67,0.0518584070796454,0.0518584070796454
68,0.0541592920353978,0.0541592920353978
69,0.0518584070796454,0.0518584070796454
70,0.0561061946902652,0.0519310188336735
71,0.0552212389380525,0.0524601769911502
73,0.0520353982300883,0.0520353982300883
74,0.0516814159292034,0.0515044247787609
75,0.0523893805309732,0.0499115044247784
76,0.0538053097345129,0.0525073746312682
77,0.0515044247787605,0.0515044247787605
78,0.053097345132743,0.0516814159292034
79,0.056637168141593,0.0549115044247787
80,0.056814159292035,0.0534752451566609
81,0.0564601769911501,0.0541150442477874
82,0.0546902654867255,0.0532743362831858
83,0.0548672566371676,0.0510619469026545
84,0.0555752212389382,0.0555752212389382
85,0.0539823008849557,0.053008849557522
86,0.0585840707964596,0.0585840707964596
87,0.0564601769911501,0.0556637168141589
89,0.0582300884955747,0.0562831858407076
90,0.0619469026548667,0.0576307320997585
91,0.0596460176991152,0.0569503063308372
92,0.0601769911504421,0.0569911504424775
93,0.0598230088495572,0.0579351032448374
94,0.0594690265486723,0.0592920353982299
95,0.0647787610619469,0.0608955752212388
