"hpv_1","uptake_max","uptake_mean"
10,0.0916666666666662,0.0829151366789061
11,0.0741228070175434,0.0741228070175434
12,0.0837719298245608,0.0837719298245608
13,0.0824561403508768,0.0824561403508768
15,0.0833333333333328,0.0807017543859646
16,0.0850877192982449,0.0819078947368415
17,0.0855263157894729,0.0847222222222217
18,0.0892543859649116,0.0892543859649116
19,0.151535087719297,0.133016569200779
20,0.151096491228069,0.135560291574005
21,0.14407894736842,0.1125
22,0.143201754385964,0.143201754385964
26,0.143859649122807,0.143859649122807
27,0.148245614035087,0.148245614035087
28,0.154605263157895,0.154605263157895
29,0.159429824561403,0.159429824561403
30,0.309649122807017,0.260798122065727
31,0.305921052631579,0.195992822966507
32,0.314035087719298,0.314035087719298
33,0.318859649122807,0.317690058479532
34,0.324342105263158,0.319444444444444
35,0.332017543859648,0.327412280701754
36,0.334429824561403,0.333479532163742
37,0.348245614035087,0.346052631578947
38,0.345394736842105,0.34281798245614
40,0.389912280701754,0.376839275608375
41,0.392105263157894,0.382338056680162
42,0.39078947368421,0.385745614035087
43,0.392543859649122,0.391831140350877
45,0.398245614035088,0.398245614035088
46,0.394298245614034,0.394188596491228
47,0.393640350877193,0.393530701754386
48,0.397807017543859,0.394956140350877
50,0.403508771929824,0.397218045112781
51,0.404166666666666,0.399793601651186
53,0.40219298245614,0.40219298245614
54,0.399780701754385,0.399780701754385
55,0.401315789473684,0.400438596491228
56,0.40219298245614,0.398684210526315
58,0.408552631578947,0.408552631578947
59,0.408771929824561,0.40562865497076
60,0.410526315789473,0.406098862019914
61,0.409210526315789,0.406641604010025
62,0.402850877192982,0.402850877192982
63,0.410087719298245,0.407212475633528
64,0.408333333333333,0.408114035087719
66,0.407456140350877,0.407456140350877
67,0.412719298245613,0.409758771929823
68,0.408991228070175,0.405847953216374
69,0.412061403508772,0.411842105263158
70,0.417105263157894,0.410382040627885
71,0.416008771929824,0.41157894736842
72,0.412719298245613,0.409941520467836
73,0.408552631578947,0.408552631578947
75,0.413157894736841,0.412390350877193
76,0.410526315789473,0.409576023391812
77,0.412061403508772,0.411549707602339
78,0.412061403508772,0.412061403508772
80,0.420175438596491,0.41369811724433
81,0.419736842105263,0.415986842105263
83,0.416228070175438,0.416228070175438
84,0.415570175438596,0.413669590643275
85,0.417105263157894,0.41469298245614
86,0.415570175438596,0.41359649122807
88,0.418640350877193,0.418640350877193
89,0.420175438596491,0.418494152046783
90,0.423026315789473,0.418085655314757
91,0.424780701754385,0.418737816764132
92,0.420614035087719,0.419956140350877
93,0.419956140350877,0.419956140350877
94,0.420175438596491,0.418238304093567
95,0.425219298245613,0.420023616734143
