HPV,uptake,uptake_error
40.14,0.373757455,0.3972167
40.29,0.373161034,0.396620278
40.33,0.372763419,0.396222664
40.34,0.377335984,0.400795229
40.35,0.372365805,0.39582505
40.38,0.374950298,0.398409543
40.41,0.370775348,0.394234592
40.42,0.371570577,0.395029821
40.44,0.372962227,0.396421471
40.45,0.376540755,0.4
40.53,0.370377734,0.393836978
40.55,0.372365805,0.39582505
40.59,0.373956262,0.397415507
40.6,0.373359841,0.396819085
40.6,0.373558648,0.397017893
40.6,0.373956262,0.397415507
40.66,0.372962227,0.396421471
41.03,0.373757455,0.3972167
41.22,0.399005964,0.422465209
41.65,0.375149105,0.39860835
41.77,0.40139165,0.424850895
42.26,0.373558648,0.397017893
42.38,0.401789264,0.425248509
42.47,0.371371769,0.394831014
43.11,0.405964215,0.429423459
43.47,0.377534791,0.400994036
43.88,0.409940358,0.433399602
44.55,0.415308151,0.438767396
47.12,0.422664016,0.44612326
48.14,0.423658052,0.447117296
49.13,0.427236581,0.450695825
50.24,0.435188867,0.458648111
51.4,0.435785288,0.459244533
55.75,0.448906561,0.472365805
57.39,0.448111332,0.471570577
58.88,0.452882704,0.476341948
60.43,0.456063618,0.479522863
61.97,0.458846918,0.482306163
66.54,0.470775348,0.494234592
68.14,0.475347913,0.498807157
69.68,0.475149105,0.49860835
71.2,0.472962227,0.496421471
72.76,0.481908549,0.505367793
76.5,0.488270378,0.511729622
77.45,0.486878728,0.510337972
78.5,0.487872763,0.511332008
79.38,0.486481113,0.509940358
80.2,0.489065606,0.512524851
82.94,0.496222664,0.519681909
83.5,0.495626243,0.519085487
84.01,0.49860835,0.522067594
85.09,0.49582505,0.519284294
86.39,0.494234592,0.517693837
88.76,0.497614314,0.521073559
