"","hpv1","uptake"
"1",10,0.0653479125248512
"2",11,0.100221746444411
"3",12,0.152286282306163
"4",13,0.198991763703494
"5",14,0.243489065606362
"6",15,0.277783300198807
"7",16,0.299652087475149
"8",17,0.310437375745527
"9",18,0.319781312127237
"10",19,0.32544731610338
"11",20,0.332074221338635
"12",21,0.336779324055667
"13",23,0.347382372432074
"14",24,0.350298210735587
"15",26,0.356527501656727
"16",27,0.355467196819085
"17",28,0.357256461232605
"18",29,0.363419483101392
"19",30,0.365506958250497
"20",31,0.369582504970179
"21",32,0.369383697813121
"22",33,0.370974155069582
"23",34,0.372564612326044
"24",35,0.371570576540756
"25",36,0.371272365805169
"26",37,0.375785288270378
"27",38,0.376441351888668
"28",39,0.377062624254474
"29",40,0.375452547870671
"30",41,0.375922244311907
"31",42,0.384652087475149
"32",43,0.391749502982108
"33",44,0.409940357852883
"34",45,0.415308151093439
"35",47,0.422664015904573
"36",48,0.423658051689861
"37",49,0.427236580516899
"38",50,0.435188866799205
"39",51,0.435785288270378
"40",56,0.448906560636183
"41",57,0.448111332007953
"42",59,0.452882703777337
"43",60,0.456063618290259
"44",62,0.458846918489066
"45",67,0.470775347912525
"46",68,0.475347912524851
"47",70,0.475149105367793
"48",71,0.47296222664016
"49",73,0.481908548707754
"50",76,0.488270377733599
"51",77,0.486878727634195
"52",78,0.487872763419483
"53",79,0.48648111332008
"54",80,0.489065606361829
"55",83,0.496222664015905
"56",84,0.497117296222664
"57",85,0.49582504970179
"58",86,0.494234592445329
"59",89,0.497614314115309
