"hpv_1","uptake_max","uptake_mean"
9,0.0917840375586856,0.0876760563380281
10,0.0950704225352111,0.0874178403755868
12,0.0899061032863854,0.0899061032863854
13,0.0877934272300471,0.0877934272300471
14,0.139436619718309,0.121082469660732
15,0.140845070422535,0.126944823060225
16,0.129342723004695,0.104372065727699
17,0.206338028169014,0.192098191988812
18,0.215023474178403,0.203059195206988
19,0.207981220657277,0.203478446436193
20,0.204694835680751,0.200234741784038
29,0.280516431924883,0.279225352112677
30,0.389906103286385,0.365660467660331
31,0.293192488262911,0.288920187793427
32,0.388732394366197,0.386776212832551
33,0.387323943661971,0.386854460093896
35,0.390610328638498,0.388826291079812
36,0.393661971830986,0.391392801251956
37,0.393192488262911,0.389984350547731
38,0.393661971830986,0.393192488262911
40,0.401173708920187,0.39605410239213
41,0.401173708920187,0.39606073943662
44,0.396948356807512,0.396948356807512
45,0.399530516431925,0.397496087636933
46,0.399530516431925,0.398826291079812
47,0.397887323943662,0.396478873239437
48,0.403051643192489,0.399843505477309
50,0.408450704225352,0.402794184461608
51,0.406103286384976,0.401472471190781
54,0.403990610328639,0.403990610328639
55,0.405633802816901,0.403521126760563
56,0.406338028169014,0.40602503912363
57,0.407746478873239,0.404929577464789
58,0.408215962441314,0.406494522691706
59,0.407746478873239,0.407042253521126
60,0.413145539906103,0.407216286223086
61,0.413145539906103,0.407511737089202
62,0.401643192488262,0.401643192488262
63,0.41056338028169,0.40641627543036
64,0.410798122065728,0.408685446009389
65,0.411502347417841,0.40962441314554
66,0.412206572769953,0.412206572769953
67,0.409624413145539,0.407511737089202
68,0.410798122065728,0.40680751173709
69,0.406338028169014,0.406338028169014
70,0.415962441314553,0.411096884336321
71,0.414319248826291,0.41140174379611
72,0.412441314553991,0.410485133020344
76,0.411737089201878,0.411737089201878
77,0.415023474178403,0.412089201877934
78,0.413145539906103,0.410798122065727
79,0.411737089201878,0.409741784037559
80,0.418075117370892,0.41237018068004
81,0.416901408450705,0.413474178403756
82,0.412910798122066,0.411737089201878
83,0.413145539906103,0.412910798122065
84,0.413849765258216,0.413849765258216
87,0.416666666666667,0.415610328638498
88,0.416666666666667,0.413615023474179
89,0.41924882629108,0.414749608763693
90,0.419014084507042,0.41321911568916
91,0.416666666666667,0.412558685446009
92,0.415727699530516,0.414671361502347
93,0.414319248826291,0.414319248826291
94,0.416666666666667,0.415258215962442
95,0.419483568075117,0.415089063794532
