"","hpv_1","uptake_mean","uptake_max"
"1",12,0.0355199999999996,0.0355199999999996
"2",12.9,0.0377600000000001,0.0377600000000001
"3",13.9,0.0345599999999997,0.0345599999999997
"4",14.6,0.03872,0.03872
"5",14.9,0.0371200000000002,0.0371200000000002
"6",15.1,0.0391999999999996,0.0391999999999996
"7",15.5,0.0355199999999996,0.0355199999999996
"8",15.7,0.0371200000000002,0.0371200000000002
"9",16,0.0384,0.0384
"10",16.2,0.0384,0.0384
"11",16.4,0.0347200000000001,0.0347200000000001
"12",17.1,0.0375999999999998,0.0375999999999998
"13",17.4,0.0388799999999996,0.0388799999999996
"14",17.8,0.0382399999999997,0.0382399999999997
"15",18.2,0.0395199999999996,0.0395199999999996
"16",18.7,0.0395199999999996,0.0395199999999996
"17",19,0.0404800000000002,0.0404800000000002
"18",20.5,0.0407999999999999,0.0443199999999997
"19",20.7,0.0443999999999999,0.04512
"20",21.8,0.0368000000000002,0.0368000000000002
"21",23,0.0436799999999998,0.0436799999999998
"22",24.3,0.0408000000000001,0.0408000000000001
"23",25.6,0.0412799999999997,0.0412799999999997
"24",26.9,0.0415999999999997,0.0415999999999997
"25",29.4,0.0439999999999998,0.0439999999999998
"26",29.6,0.0463999999999999,0.0463999999999999
"27",30.2,0.0460799999999999,0.0467199999999998
"28",30.3,0.0428800000000003,0.0428800000000003
"29",30.4,0.0463999999999999,0.0463999999999999
"30",30.7,0.0465600000000002,0.0465600000000002
"31",31,0.0455999999999996,0.0455999999999996
"32",31.8,0.0399999999999999,0.0399999999999999
"33",32.1,0.0411200000000001,0.0411200000000001
"34",32.3,0.0444800000000001,0.0444800000000001
"35",32.5,0.0427199999999997,0.0460799999999999
"36",32.6,0.0416799999999998,0.0422399999999996
"37",36.7,0.0490133333333331,0.0510399999999997
"38",37.9,0.0472000000000001,0.0472000000000001
"39",38.3,0.0503999999999998,0.0503999999999998
"40",38.7,0.0473066666666666,0.0483199999999997
"41",38.9,0.0500799999999998,0.0500799999999998
"42",39,0.0505600000000001,0.0505600000000001
"43",39.1,0.0486400000000001,0.0508800000000001
"44",39.2,0.0503999999999998,0.0503999999999998
"45",39.3,0.0496800000000001,0.0505600000000001
"46",40.4,0.0497599999999998,0.0537599999999998
