time,hpv,uptake
11580,28.71,0.078311599
11610,28.63,0.078517502
11670,28.51,0.077625257
11700,28.48,0.077144818
11730,28.48,0.077282086
11760,28.51,0.076664379
11820,28.56,0.075428964
11850,28.63,0.076252574
11880,28.68,0.074536719
11910,28.79,0.075017159
11970,28.99,0.074330817
12000,29.12,0.074330817
12030,29.22,0.074330817
12060,29.31,0.073575841
12150,29.68,0.072889499
12180,29.79,0.072958133
12210,29.86,0.072203157
12300,30.12,0.07110501
12330,30.22,0.071173644
12360,30.25,0.069389156
12390,30.31,0.070830474
12450,30.4,0.070487303
12480,30.41,0.069595058
12510,30.43,0.070350034
12540,30.41,0.070075498
12600,30.38,0.068222375
12630,30.32,0.068840082
12660,30.28,0.068565546
12690,30.28,0.068565546
12750,30.2,0.067947838
12780,30.14,0.068359643
12810,30.11,0.067536033
12840,30.08,0.068496911
12930,29.98,0.06733013
12960,29.87,0.06733013
12990,29.84,0.06650652
13080,29.85,0.064722032
13110,29.82,0.065820178
13140,29.81,0.065957447
13170,29.79,0.065957447
13230,29.77,0.066575154
13260,29.79,0.065751544
13290,29.78,0.063967056
13320,29.79,0.064104324
13380,29.76,0.063623885
13410,29.79,0.064722032
13440,29.8,0.0648593
13470,29.84,0.064241592
13530,29.84,0.064310226
13560,29.83,0.064241592
13590,29.87,0.064241592
13620,29.89,0.063555251
13710,30.16,0.063967056
13740,30.18,0.062663006
13770,30.2,0.062251201
13860,30.15,0.062937543
13890,30,0.063143445
13920,29.73,0.062525738
13950,29.42,0.062045299
14010,28.64,0.062457104
14040,28,0.062457104
14070,27.5,0.061290323
14100,27.07,0.060466712
14160,25.96,0.060809883
14190,25.49,0.061427591
14220,25.07,0.06026081
14250,24.64,0.060398078
14310,23.59,0.059643102
14340,23.19,0.059986273
14370,22.83,0.059849005
14400,22.3,0.059643102
14490,21.26,0.059162663
14520,20.78,0.058339053
14550,20.35,0.058888126
14640,19.19,0.05813315
14670,18.83,0.057858614
14700,18.55,0.056760467
14730,18.33,0.058339053
14790,17.64,0.05648593
14820,17.35,0.057858614
14850,17.11,0.056554564
14880,16.79,0.056691833
14940,16.24,0.055936857
14970,16.02,0.055936857
15000,15.73,0.05435827
15030,15.4,0.054564173
15090,14.94,0.053946465
15120,14.74,0.054632807
15150,14.48,0.054495539
15180,14.26,0.054289636
15270,13.66,0.053328758
15300,13.51,0.053328758
15330,13.41,0.053054221
15420,13.14,0.05271105
15450,13.07,0.052367879
15480,12.99,0.050789293
15510,12.93,0.051612903
15570,12.81,0.051407001
15600,12.75,0.050377488
15630,12.68,0.051338367
15660,12.63,0.051338367
15720,12.54,0.050377488
15750,12.5,0.050583391
15780,12.44,0.049828415
15810,12.4,0.04975978
15870,12.32,0.048524365
15900,12.28,0.048867536
15930,12.25,0.049416609
15960,12.21,0.047975292
16050,12.09,0.049828415
16080,12.06,0.047151682
16110,12,0.048387097
16200,11.9,0.048043926
16230,11.87,0.047083047
16260,11.85,0.048524365
16290,11.8,0.048249828
16350,11.72,0.047769389
16380,11.7,0.046533974
16410,11.67,0.046602608
16440,11.65,0.04646534
16500,11.57,0.047014413
16530,11.53,0.047220316
16560,11.51,0.046259437
16590,11.47,0.046396706
16680,11.43,0.046533974
16710,11.4,0.045573095
16740,11.35,0.045367193
16830,11.28,0.046259437
16860,11.25,0.044269046
16890,11.24,0.045847632
16920,11.2,0.04564173
16980,11.16,0.045367193
17010,11.12,0.044269046
17040,11.09,0.044063143
17070,11.05,0.04433768
17130,11.02,0.042827728
17160,10.99,0.043994509
17190,10.98,0.043582704
17220,10.97,0.04433768
17280,10.9,0.044131778
17310,10.88,0.043925875
17340,10.84,0.043102265
17370,10.82,0.042621826
17460,10.73,0.043582704
17490,10.7,0.042553191
