hpv_4a,4a_filtech,hpv_mof-801,mof-801,hpv_alumina,alumina_filtech,hpv_mof-303,mof-303_1230_ntu,hpv_a520,a520_itri
22.9,0.112243767,10.46,0.278041074,,,40.18,0.370754717,,
23.4,0.112576177,10.48,0.280726698,,,40.15,0.367924528,,
23.9,0.112797784,10.51,0.279304897,,,40.06,0.368867925,,
24.2,0.112576177,10.53,0.273933649,,,43.88,0.364622642,,
24.6,0.112963989,10.56,0.277093207,,,44.87,0.368396226,,
25.2,0.112243767,10.56,0.278830964,,,44.88,0.36745283,,
25.8,0.112686981,10.58,0.282148499,,,44.58,0.37004717,,
26.2,0.112409972,10.59,0.285466035,,,43.67,0.37004717,,
26.7,0.111911357,10.61,0.285466035,,,43.13,0.373584906,,
27.4,0.112797784,10.64,0.274091627,,,42.49,0.366981132,,
28.1,0.112631579,10.64,0.279778831,,,41.89,0.358490566,,
28.4,0.113795014,10.67,0.287045814,,,40.61,0.370990566,,
28.7,0.115457064,10.74,0.278041074,,,39.9,0.366981132,,
28.8,0.115077167,10.78,0.285150079,,,38.93,0.368632075,,
28.9,0.115249307,10.83,0.284992101,,,38.08,0.362264151,,
29,0.115900277,10.86,0.277251185,,,36.75,0.364622642,,
29.1,0.114099723,10.9,0.291153239,,,35.75,0.362971698,,
29.2,0.115041552,10.93,0.283096366,,,34.9,0.364386792,,
29.3,0.115373962,10.96,0.287361769,,,34.17,0.366509434,,
29.4,0.114496768,10.98,0.286255924,,,32.74,0.364386792,,
29.5,0.114404432,11,0.293680885,,,32.06,0.357311321,,
29.6,0.11498615,11.01,0.290363349,,,31.51,0.360141509,,
29.7,0.114404432,11.04,0.288625592,,,30.98,0.362028302,,
29.8,0.113160973,11.06,0.290047393,,,29.15,0.363679245,,
29.9,0.112830102,11.09,0.285308057,,,28.7,0.360613208,,
30,0.114222398,11.12,0.289889416,,,28.17,0.360141509,,
30.1,0.113644638,11.16,0.290205371,,,26.81,0.358490566,,
30.2,0.113744649,11.19,0.3,,,26.2,0.352830189,,
30.3,0.113102493,11.22,0.296050553,,,25.64,0.346698113,,
30.4,0.114265928,11.26,0.297946288,,,25.21,0.350235849,,
30.5,0.112686981,11.29,0.289731438,,,24.35,0.356603774,,
30.6,0.114459834,11.32,0.287519747,,,23.86,0.345754717,,
30.7,0.112603878,11.36,0.295102686,,,23.45,0.346226415,,
30.9,0.116620499,11.38,0.29399684,,,23.11,0.349056604,,
31.1,0.117451524,11.4,0.291943128,,,22.29,0.345283019,,
31.3,0.116565097,11.43,0.295576619,,,21.93,0.342688679,,
31.6,0.11767313,11.46,0.3,,,21.63,0.342924528,,
31.9,0.117506925,11.5,0.291943128,,,21.22,0.344339623,,
32.2,0.1166759,11.53,0.302527646,,,20.45,0.341509434,,
32.5,0.117783934,11.57,0.297630332,,,20.15,0.339150943,,
32.9,0.117783934,11.6,0.300789889,,,19.88,0.338679245,,
33.2,0.117783934,11.63,0.308056872,,,19.47,0.335141509,,
33.6,0.117894737,11.66,0.307266983,,,18.89,0.333018868,,
34,0.117451524,11.74,0.305687204,,,18.61,0.331603774,,
34.5,0.117950139,11.8,0.30600316,,,18.24,0.331603774,,
34.9,0.11767313,11.81,0.294154818,,,17.94,0.330896226,,
35.4,0.117119114,11.88,0.308372828,,,17.2,0.326886792,,
35.9,0.118171745,11.93,0.303949447,,,16.96,0.320990566,,
36.4,0.118614958,11.96,0.307266983,,,16.75,0.321226415,,
37,0.118504155,11.99,0.302369668,,,16.31,0.315801887,,
37.6,0.117562327,12.03,0.310742496,,,16.19,0.317216981,,
38.2,0.117506925,12.05,0.312006319,,,16.05,0.310613208,,
38.9,0.117396122,12.08,0.303159558,,,15.93,0.314150943,,
39.5,0.119445983,12.14,0.315165877,,,15.66,0.309669811,,
40.2,0.117728532,12.18,0.317851501,,,15.58,0.307075472,,
