"hpv_1","uptake_max","uptake_mean"
9,0.0770448548812662,0.0748680738786276
10,0.0815303430079154,0.0748722487558864
14,0.0854881266490765,0.0775389047439555
15,0.0873350923482853,0.0782295337429829
16,0.0878627968337734,0.0799530929346231
17,0.0857519788918199,0.0809674582233946
30,0.0828496042216361,0.0765202545398105
34,0.078891820580475,0.0753737906772207
35,0.0757255936675454,0.072823218997361
36,0.0738786279683378,0.0734828496042215
37,0.0712401055408974,0.0712401055408974
38,0.0757255936675454,0.0754617414248014
39,0.0728232189973617,0.069744942832014
40,0.0765171503957781,0.0697769249220435
41,0.0751978891820574,0.0694946214735131
42,0.0707124010554094,0.0686675461741424
43,0.0738786279683378,0.0738786279683378
44,0.0744063324538259,0.0711081794195252
45,0.0683377308707125,0.0683377308707125
46,0.0693931398416886,0.0693931398416886
48,0.0699208443271767,0.0699208443271767
49,0.0699208443271767,0.06688654353562
50,0.0715039577836409,0.0650421646231051
51,0.0709762532981528,0.066314863676341
52,0.0670184696569917,0.066622691292876
53,0.0643799472295514,0.0620052770448545
54,0.0622691292875991,0.0609498680738784
58,0.0620052770448545,0.0620052770448545
59,0.0646437994722948,0.0598944591029022
60,0.0659630606860156,0.0602782441832572
61,0.0651715039577841,0.0639841688654353
63,0.061213720316623,0.0575857519788918
64,0.0630606860158306,0.0594327176780997
65,0.0627968337730872,0.0627968337730872
67,0.0567282321899738,0.0567282321899738
68,0.0569920844327173,0.0567282321899732
69,0.0596306068601576,0.0539218037898776
70,0.05778364116095,0.0524785269185426
71,0.0630606860158306,0.0536939313984168
72,0.0551451187335096,0.0537730870712402
73,0.0496042216358843,0.0496042216358843
74,0.0498680738786277,0.0484168865435353
76,0.0482849604221635,0.0482849604221635
77,0.0527704485488127,0.0515831134564643
78,0.051451187335092,0.051451187335092
79,0.0517150395778366,0.0506596306068604
80,0.0535620052770442,0.0480515526689667
81,0.0532981530343008,0.0467772333207689
83,0.0477572559366755,0.0459102902374672
85,0.0459102902374666,0.0448548812664905
86,0.0456464379947232,0.0456464379947232
87,0.0474934036939309,0.0449868073878622
89,0.0474934036939309,0.0457343887423044
90,0.0503957783641158,0.0433732494418509
91,0.0437994722955144,0.0426781002638518
92,0.0427440633245382,0.0416007036059806
93,0.0467018469656993,0.0430958663148636
94,0.0467018469656993,0.0395778364116095
95,0.0501319261213724,0.0414339004640159
96,0.0482849604221635,0.0453825857519786
