"hpv_1","uptake_max","uptake_mean"
24,0.0532981530343008,0.0499160470136721
25,0.0659630606860156,0.0569241224914046
26,0.0530343007915562,0.0514072119613016
27,0.0477572559366755,0.0474934036939315
28,0.0593667546174142,0.0511873350923481
29,0.0493403693931397,0.0461741424802109
30,0.0614775725593664,0.0536499560246258
31,0.0488126649076516,0.0488126649076516
32,0.0598944591029022,0.0550131926121373
33,0.0522427440633246,0.0522427440633246
34,0.0496042216358843,0.0470976253298157
35,0.0490765171503951,0.0490765171503951
36,0.0598944591029022,0.0550131926121373
37,0.0543535620052769,0.0543535620052769
38,0.0522427440633246,0.0522427440633246
39,0.0593667546174142,0.0505277044854881
40,0.0517150395778366,0.0517150395778366
41,0.0551451187335096,0.0551451187335096
43,0.0464379947229547,0.0464379947229547
44,0.0604221635883903,0.0547493403693927
46,0.0482849604221635,0.0482849604221635
49,0.0567282321899738,0.0567282321899738
50,0.0469656992084428,0.0469656992084428
51,0.0622691292875991,0.0622691292875991
52,0.0496042216358843,0.0496042216358843
57,0.0614775725593664,0.0614775725593664
58,0.0493403693931397,0.0493403693931397
62,0.0474934036939309,0.0474934036939309
65,0.0472295514511874,0.0472295514511874
66,0.0609498680738784,0.0609498680738784
72,0.044063324538259,0.044063324538259
75,0.0585751978891815,0.0530343007915562
77,0.0488126649076516,0.0478891820580472
78,0.0503957783641158,0.0503957783641158
80,0.0482849604221635,0.0482849604221635
81,0.0456464379947232,0.0456464379947232
85,0.0591029023746695,0.0591029023746695
86,0.0477572559366755,0.0477572559366755
88,0.0593667546174142,0.0579155672823217
89,0.0664907651715037,0.0614116094986803
90,0.0686015831134559,0.0591481341877118
91,0.0635883905013187,0.0579595426561122
92,0.0609498680738784,0.0609498680738784
93,0.0572559366754619,0.0572559366754619
94,0.0601583113456468,0.0601583113456468
97,0.0593667546174142,0.0585751978891818
98,0.0538258575197888,0.0538258575197888
