"","hpv1","uptake"
"212",75.6,0.126814404
"213",76.2,0.128975069
"214",76.8,0.128476454
"215",77.5,0.128476454
"216",78.2,0.128033241
"217",79,0.129196676
"218",79.7,0.129196676
"219",80.6,0.128531856
"220",81.4,0.129030471
"221",82.2,0.128254848
"222",83,0.129030471
"223",83.7,0.128476454
"224",84.6,0.129307479
"225",85.4,0.128476454
"226",86.2,0.128587258
"227",86.8,0.129252078
"228",87,0.125761773
"229",87.2,0.126094183
"230",87.3,0.1256509695
"231",87.4,0.1275069255
"232",87.5,0.125817175
"233",87.8,0.123767313
"234",87.9,0.126537396
"235",88,0.1277562325
"236",88.5,0.128365651
"237",88.7,0.126592798
"238",88.8,0.124210526
"239",89.2,0.128421053
"240",89.4,0.125373961
"241",89.5,0.126094183
"242",89.6,0.129639889
"243",89.7,0.127202216
"244",89.8,0.1272797784
"245",89.9,0.127688959142857
"246",90,0.127607522947368
"247",90.1,0.127657740888889
"248",90.2,0.12767313025
"249",90.3,0.126592797714286
"250",90.4,0.126232687
"251",90.5,0.126703601
"252",90.6,0.1267867035
"253",90.7,0.126759003
